Row  Column  Power
32  189  4.0
32  190  4.0
32  191  4.0
32  192  4.0
32  193  4.0
32  194  4.0
32  195  4.0
32  196  4.0
32  197  4.0
32  198  4.0
32  199  4.0
32  200  4.0
32  201  4.0
32  202  4.0
32  203  4.0
32  204  4.0
32  205  4.0
32  206  4.0
32  207  4.0
32  208  4.0
32  209  4.0
32  210  3.42714662286
32  213  7.38847711317
32  222  3.57828313929
32  235  4.81843393748
32  252  3.4253206323
32  255  3.7849722478
32  299  7.0
32  305  4.35890522432
32  319  4.69241230665
32  366  3.85850306529
32  408  4.05912458793
32  411  7.45275246388
32  418  3.97899745645
32  435  5.57521803483
32  459  3.84633806512
32  462  4.85139458944
32  465  3.94016207177
32  489  4.36544043279
33  27  4.08008412878
33  98  4.50292570325
33  108  3.66274966861
33  112  3.50716211947
33  129  4.49377337691
33  189  4.0
33  190  4.0
33  191  4.0
33  192  4.0
33  193  4.0
33  194  4.0
33  195  4.0
33  196  4.0
33  197  4.0
33  198  4.0
33  199  4.0
33  200  4.0
33  201  4.0
33  202  4.0
33  203  4.0
33  204  4.0
33  205  4.0
33  206  4.0
33  207  4.0
33  208  4.0
33  209  4.0
33  231  5.12310659224
33  247  3.45976712731
33  299  7.0
33  301  3.64029117575
33  312  6.94242506669
33  313  3.43272668361
33  373  3.86848663158
33  407  4.00515620645
33  426  4.0869320695
33  443  4.75807524342
33  461  3.96227139189
33  467  3.49651859614
33  498  4.35916353926
34  76  4.29402366595
34  117  3.69144585854
34  168  3.89746125874
34  178  4.88436130431
34  189  4.0
34  190  4.0
34  191  4.0
34  192  4.0
34  193  4.0
34  194  4.0
34  195  4.0
34  196  4.0
34  197  4.0
34  198  4.0
34  199  4.0
34  200  4.0
34  201  4.0
34  202  4.0
34  203  4.0
34  204  4.0
34  205  4.0
34  206  4.0
34  207  4.0
34  208  4.0
34  209  4.0
34  244  3.80276306638
34  299  7.0
34  307  3.43313044834
34  382  4.41870467187
34  420  6.87114617733
34  427  3.86949891674
34  480  4.35951465501
34  493  5.16877263663
35  117  4.51596062012
35  121  4.74451118217
35  126  4.79974803655
35  140  5.72977314235
35  166  5.96696380902
35  188  3.64364121153
35  189  4.0
35  190  4.0
35  191  4.0
35  192  4.0
35  193  4.0
35  194  4.0
35  195  4.0
35  196  4.0
35  197  4.0
35  198  4.0
35  199  4.0
35  200  4.0
35  201  4.0
35  202  4.0
35  203  4.0
35  204  4.0
35  205  4.0
35  206  4.0
35  207  4.0
35  208  4.0
35  209  4.0
35  221  3.52892332385
35  236  3.98590357097
35  259  4.37077047736
35  290  5.29381464155
35  299  7.0
35  329  4.15793364914
35  356  5.59364604498
35  393  7.6398878485
35  461  5.19046414805
35  473  3.69584816832
36  40  3.95448421837
36  47  4.22146716693
36  56  3.45870660171
36  58  3.88846703541
36  81  3.53059640615
36  185  3.95602784448
36  189  4.0
36  190  4.0
36  191  4.0
36  192  4.0
36  193  4.0
36  194  4.0
36  195  4.0
36  196  4.0
36  197  4.0
36  198  4.0
36  199  4.0
36  200  4.0
36  201  4.0
36  202  4.0
36  203  4.0
36  204  4.0
36  205  4.0
36  206  4.0
36  207  4.0
36  208  4.0
36  209  4.0
36  299  7.0
36  327  4.26619232152
36  375  4.66372033611
36  445  5.37467943994
36  447  4.83102263595
37  62  4.53357043407
37  73  3.7742270554
37  74  4.47611898843
37  78  3.57672910838
37  91  3.90871515671
37  103  5.327625839
37  139  3.84372629642
37  144  4.14207427811
37  155  4.19822202046
